Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
1755,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,25,1999,30.3,55.8,72.5,77,983.6,389.9,25.4,28.1,90.4,23.4,29.5,79.4,5.71,11.5,49.7,0.2,0.18,0.21,0.01,1.16,5.81,2.28,0.36,6.6,Matches
1756,Kim Minsu,kr KOR,"MF,FW",Girona,es La Liga,18,2006,0.2,45,50,90,525,40,25,30,83.3,15,15,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
1757,Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20,2004,20.4,17.1,27.3,62.5,271.1,90.3,9.8,12.6,77.8,5.25,8.43,62.2,1.52,3.28,46.3,0.2,0.25,0.25,-0.05,1.42,0.69,1.76,0.44,2.35,Matches
1758,Bojan Miovski,mk MKD,FW,Girona,es La Liga,25,1999,9.7,8.87,11.6,76.1,129.9,10.9,5.05,5.98,84.5,3.4,4.33,78.6,0.31,0.31,100,0.1,0.02,0.02,0.08,0.41,0.21,0.1,0.1,0.41,Matches
1759,Rafa Mir,es ESP,"FW,MF",Valencia,es La Liga,27,1997,8.4,17.1,23.8,72,264.8,47.7,9.05,11.2,80.9,6.07,7.5,81,1.31,2.5,52.4,0.24,0.08,0.06,0.15,0.48,1.79,0.48,0.24,2.38,Matches
1760,Juan Miranda,es ESP,DF,Bologna,it Serie A,24,2000,25.3,56.1,74.2,75.7,1099.4,400.6,20.8,23.2,89.5,27,32.5,83,7.71,16,48,0.24,0.24,0.22,0,2.25,6.17,2.06,1.19,6.44,Matches
1761,Fabio Miretti,it ITA,"MF,FW",Genoa,it Serie A,20,2003,18.6,22.7,30.5,74.4,391.4,107.8,11.1,12.6,88,8.33,10.2,82,2.31,5.22,44.3,0.16,0.11,0.11,0.05,1.18,1.29,0.7,0.11,2.9,Matches
1762,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,24,1999,34.4,28.4,39.4,72,456,174,14.8,17.4,84.8,11.1,14.9,74.8,1.77,4.27,41.5,0.15,0.19,0.11,-0.04,1.19,1.48,0.96,0.47,2.03,Matches
1763,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,eng Premier League,27,1997,28.9,25.9,34.2,75.8,338.3,77,17.5,20,87.2,6.54,9.17,71.3,0.8,1.8,44.2,0.14,0.16,0.14,-0.02,1.28,1.25,1.25,0.28,3.08,Matches
1764,Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,27,1997,27.4,62,74.3,83.4,997.7,313.6,32.8,35.3,92.9,23.6,28,84.4,4.42,8.43,52.4,0.26,0.17,0.26,0.08,1.72,5.84,2.23,1.13,6.64,Matches
1765,Koji Miyoshi,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1997,5.2,14.8,25,59.2,233.8,81.2,7.31,9.04,80.9,5.77,8.46,68.2,0.77,2.69,28.6,0,0.15,0.12,-0.15,0.96,1.92,0.77,0,2.88,Matches
1766,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,35,1989,26.6,49.8,57.1,87.4,808.6,206.7,25,27.3,91.7,20.3,22.9,88.8,3.38,4.17,81.1,0.15,0.1,0.15,0.05,1.09,5.86,1.99,0.19,7.48,Matches
1767,Jakub Moder,pl POL,MF,Brighton,eng Premier League,25,1999,0.1,180,220,81.8,2540,820,100,140,71.4,80,80,100,0,0,,0,2,5,-2,30,0,10,10,40,Matches
1768,Rui Modesto,ao ANG,"DF,MF",Udinese,it Serie A,24,1999,6.8,34,45.6,74.5,511.9,144.6,20.4,22.9,89.1,10.1,14.7,69,2.5,5.59,44.7,0.15,0.12,0.07,0.03,2.06,2.21,0.88,0.74,3.24,Matches
1769,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,38,1985,20.3,84.9,97,87.6,1465,475.2,40.9,43.7,93.6,32.2,35.4,91.1,9.16,13.8,66.2,0.3,0.34,0.31,-0.05,3.25,11.1,1.67,0.1,10.2,Matches
1770,Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,,,5,13.8,20.6,67,156.8,40.8,8,11.6,69,3.6,5.2,69.2,0.2,0.8,25,0,0.12,0.12,-0.12,1.4,1,0.4,0,2,Matches
1771,Terem Moffi,ng NGA,FW,Nice,fr Ligue 1,25,1999,0.6,10,16.7,60,155,50,6.67,11.7,57.1,3.33,5,66.7,0,0,,0,0,0,0,0,3.33,0,0,1.67,Matches
1772,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,26,1997,13.9,11.5,17.8,64.8,177.1,46.5,6.4,9.14,70.1,3.6,4.68,76.9,1.01,1.58,63.6,0,0.03,0.03,-0.03,0.43,1.15,0.43,0,1.44,Matches
1773,Johan Mojica,co COL,DF,Mallorca,es La Liga,31,1992,30.6,39.8,53.6,74.2,704,304,20.1,22.8,88.4,14.3,18.4,77.8,4.77,9.35,51,0.07,0.13,0.14,-0.07,1.31,3.33,1.73,1.08,4.25,Matches
1774,David Mokwa,fr FRA,"DF,FW",Hoffenheim,de Bundesliga,20,2004,0.2,5,20,25,45,0,5,15,33.3,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
1775,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,20,2003,30.2,28,34.4,81.3,396.1,90.5,17.2,19.6,88,8.64,10.5,82.1,1.23,2.02,60.7,0.03,0.11,0.12,-0.08,1.36,2.48,0.96,0.17,3.84,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1776,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26,1998,17.7,53.4,66.8,79.9,801.8,287.2,30.4,33.5,90.7,18.5,22.9,80.5,2.82,6.1,46.3,0.17,0.08,0.11,0.08,0.73,2.43,1.07,0.28,3.45,Matches
1777,Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,32,1991,2.7,30.7,39.3,78.3,481.5,113.7,14.8,15.9,93,14.1,17,82.6,1.48,4.44,33.3,0,0.11,0.07,-0.11,2.22,3.33,1.11,0.37,3.33,Matches
1778,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,26,1998,23.3,31.7,42.6,74.4,584.3,191.9,13.6,15.6,87.1,13,16.5,78.6,4.25,8.03,52.9,0,0.16,0.2,-0.16,1.42,3.26,1.07,0.56,4.59,Matches
1779,Jeremy Monga,,"FW,MF",Leicester City,eng Premier League,,,1.2,15,24.2,62.1,179.2,44.2,10.8,12.5,86.7,4.17,5,83.3,0,2.5,0,0,0,0,0,0.83,1.67,0.83,0,2.5,Matches
1780,Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,es La Liga,27,1997,1.3,52.3,60,87.2,990.8,280,22.3,23.1,96.7,25.4,28.5,89.2,4.62,7.69,60,0,0,0.08,0,0,6.15,0.77,0.77,1.54,Matches
1781,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28,1996,36,14.4,29.7,48.7,527.1,446.9,1.92,1.92,100,5.22,5.31,98.4,7.28,22.1,32.9,0,0,0,0,0,1.03,0,0,0.03,Matches
1782,Mikey Moore,eng ENG,FW,Tottenham,eng Premier League,16,2007,4.1,16.3,23.4,69.8,208,55.1,10.2,11,93.3,4.39,7.32,60,0.49,1.71,28.6,0.24,0.07,0.15,0.17,0.73,0.49,1.22,0.24,2.2,Matches
1783,Álvaro Morata,es ESP,"FW,MF",Milan,it Serie A,31,1992,12.2,16.6,22,75.4,258,44.1,9.67,12.2,79.2,4.51,6.07,74.3,1.56,2.3,67.9,0,0.07,0.02,-0.07,0.57,1.23,0.25,0,2.13,Matches
1784,Morato,br BRA,DF,Nott'ham Forest,eng Premier League,23,2001,10.1,23.6,30.6,77,394.8,191.2,10.6,12.2,87,10.7,12.8,83.7,1.49,3.47,42.9,0,0,0,0,0,1.88,0,0,1.88,Matches
1785,Diego Moreira,pt POR,"DF,MF",Strasbourg,fr Ligue 1,19,2004,28.5,36.1,46.6,77.5,572.5,138.3,18.7,21.7,86.3,14.3,18.5,77.3,2.14,3.65,58.7,0.25,0.26,0.26,-0.01,1.05,1.05,1.3,0.35,3.05,Matches
1786,Alberto Moreno,es ESP,DF,Como,it Serie A,32,1992,19.2,46.5,56.4,82.5,818.3,288.4,19.9,21.9,91.2,21.7,24.7,87.8,3.96,7.29,54.3,0,0.06,0.08,-0.06,0.99,3.28,1.2,0.63,4.22,Matches
1787,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,eng Premier League,31,1993,10.6,29.1,40.4,72,431.5,180.3,17.4,19.8,87.6,8.96,14,64.2,1.32,3.77,35,0.09,0.12,0.1,-0.03,0.75,2.36,0.85,0.19,3.21,Matches
1788,Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32,1992,8,29.4,38.1,77,524,145.1,13.6,15.9,85.8,11.8,13.6,86.2,3.38,5.38,62.8,0.25,0.45,0.24,-0.2,2.13,3.75,1.88,0.25,6.63,Matches
1789,Matias Moreno,ar ARG,DF,Fiorentina,it Serie A,20,2003,1.6,36.3,44.4,81.7,638.8,229.4,15,17.5,85.7,16.3,18.1,89.7,3.13,4.38,71.4,0,0,0,0,0.63,3.13,1.25,0,3.75,Matches
1790,Xavier Moreno,es ESP,FW,Valladolid,es La Liga,19,2004,0.5,6,26,23.1,132,22,0,10,0,6,12,50,0,0,,0,0,0,0,0,0,0,0,2,Matches
1791,Tete Morente,es ESP,"FW,MF",Lecce,it Serie A,27,1996,22.5,24.2,32.4,74.8,403.9,122.9,12.3,13.8,89.4,8.58,10.9,78.5,2.4,4.58,52.4,0.09,0.07,0.05,0.02,1.11,2.4,1.02,0.4,4.53,Matches
1792,Mateu Morey,es ESP,DF,Mallorca,es La Liga,24,2000,8.2,36.7,47.6,77.2,567.1,163,19.6,21.8,89.9,15.1,18.4,82.1,1.59,4.39,36.1,0,0.04,0.02,-0.04,0.49,1.71,0.37,0.12,2.07,Matches
1793,Ilaix Moriba,gn GUI,MF,Celta Vigo,es La Liga,21,2003,23.7,35.6,41.5,85.7,567.1,150.6,17.8,20.2,88.1,13.4,14.9,89.5,2.7,3.67,73.6,0.04,0.06,0.1,-0.02,0.84,4.51,0.8,0.08,5.02,Matches
1794,Manu Morlanes,es ESP,MF,Mallorca,es La Liga,25,1999,14.9,42.3,47.6,88.9,686.9,208.1,20.5,21.9,93.3,18.2,20.4,89.1,2.28,3.29,69.4,0,0.02,0.05,-0.02,0.67,5.64,0.67,0.2,5.91,Matches
1795,Nikola Moro,hr CRO,MF,Bologna,it Serie A,26,1998,13.4,48.2,60.1,80.2,944.7,254.2,18.4,21.5,85.4,21.1,25,84.5,7.61,11.3,67.1,0.15,0.06,0.07,0.09,1.49,7.31,0.75,0.15,6.94,Matches
1796,Raúl Moro,es ESP,"MF,FW",Valladolid,es La Liga,21,2002,26,19.9,30.7,64.9,392.8,117.8,8.62,10.9,78.9,6.92,9.92,69.8,3.92,7.27,54,0.19,0.22,0.21,-0.03,1.69,1.58,1.46,0.85,3.12,Matches
1797,Sam Morsy,eg EGY,MF,Ipswich Town,eng Premier League,32,1991,30.6,40.8,47.2,86.4,658.2,182.3,20.8,22.4,92.9,16.4,17.8,91.9,2.58,4.54,56.8,0.03,0.04,0.05,-0.01,0.78,4.87,0.56,0.13,3.92,Matches
1798,Gabriel Moscardo,br BRA,"MF,DF",Reims,fr Ligue 1,18,2005,0.9,33.3,42.2,78.9,460,88.9,22.2,28.9,76.9,8.89,10,88.9,1.11,1.11,100,0,0,0.11,0,0,1.11,2.22,0,3.33,Matches
1799,Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,20,2004,36.9,50.4,55.6,90.5,889.6,313.2,20.8,22,94.3,25.7,27.3,93.9,3.41,5.01,68.1,0,0,0.01,0,0,3.2,0.03,0,3.33,Matches
1800,Daniel Mosquera,co COL,FW,Hellas Verona,it Serie A,24,1999,15.3,15,21.9,68.7,188.1,35.6,9.87,13.3,74.4,3.66,4.84,75.7,0.26,0.78,33.3,0.07,0.08,0.06,-0.02,0.78,1.37,0.26,0,1.63,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1801,Yerson Mosquera,co COL,DF,Wolves,eng Premier League,23,2001,4.9,41.8,49,85.4,815.5,241.6,13.5,14.9,90.4,23.5,25.1,93.5,4.49,7.14,62.9,0,0.02,0,-0.02,0.41,3.27,0.2,0.2,1.43,Matches
1802,Dany Mota,pt POR,"FW,MF",Monza,it Serie A,26,1998,23.4,17.6,24.3,72.4,276.2,44.4,9.62,12.1,79.2,6.15,7.86,78.3,1.15,1.79,64.3,0.09,0.08,0.07,0.01,0.94,1.15,0.81,0.26,2.01,Matches
1803,Yael Mouanga,fr FRA,DF,Montpellier,fr Ligue 1,19,2005,10.5,40,45.6,87.7,719.5,247.3,15.9,17,93.8,19.7,21.5,91.6,3.14,5.14,61.1,0,0.02,0.01,-0.02,0.19,2.38,0.1,0.1,2.1,Matches
1804,Aimen Moueffek,fr FRA,MF,Saint-Étienne,fr Ligue 1,23,2001,11.5,29.2,34.4,84.8,418.9,98.5,17.5,19.5,89.7,9.74,11.2,86.8,1.04,1.83,57.1,0.09,0.1,0.09,-0.01,0.87,3.39,0.7,0.09,3.74,Matches
1805,Youssoufa Moukoko,de GER,"FW,MF",Nice,fr Ligue 1,19,2004,2.3,15.7,19.1,81.8,227,89.6,9.13,10,91.3,4.78,6.09,78.6,0.87,0.87,100,0.43,0.35,0.09,0.09,2.17,0.87,0.43,0.43,2.61,Matches
1806,Steve Mounié,bj BEN,"FW,MF",Augsburg,de Bundesliga,29,1994,3.9,17.7,28.2,62.7,265.9,49,8.72,12.8,68,7.44,10.3,72.5,1.03,2.05,50,0,0,0.05,0,0.26,1.28,0.26,0,2.82,Matches
1807,Mason Mount,eng ENG,MF,Manchester Utd,eng Premier League,25,1999,6.9,30,36.7,81.8,437,102.8,17.4,20,87,8.41,10.3,81.7,1.88,2.61,72.2,0,0.09,0.09,-0.09,1.16,2.75,1.16,0.29,4.78,Matches
1808,Santiago Mouriño,uy URU,DF,Alavés,es La Liga,22,2002,20.5,26.3,33.7,78,482,211.2,10.4,12,86.2,13,15.4,84.5,2.59,5.27,49.1,0.05,0.04,0.03,0,0.34,2.29,0.24,0.1,2.24,Matches
1809,Louis Mouton,fr FRA,MF,Saint-Étienne,fr Ligue 1,22,2002,11.6,38.1,47.5,80.2,627.9,179,19.8,22.3,88.8,13.5,16.8,80.5,3.45,5.09,67.8,0.09,0.11,0.11,-0.03,1.38,3.62,1.12,0.09,4.66,Matches
1810,Divin Mubama,eng ENG,FW,Manchester City,eng Premier League,19,2004,0.3,6.67,10,66.7,146.7,60,3.33,3.33,100,0,0,,3.33,3.33,100,0,0,0,0,0,0,0,0,3.33,Matches
1811,Mykhailo Mudryk,ua UKR,FW,Chelsea,eng Premier League,23,2001,1.7,16.5,24.7,66.7,253.5,97.1,10,14.1,70.8,5.88,8.82,66.7,0.59,1.18,50,0,0.59,0.29,-0.59,1.18,1.18,1.18,0.59,2.94,Matches
1812,Ngal'Ayel Mukau,cd COD,MF,Lille,fr Ligue 1,19,2004,13.2,43.6,48.9,89.1,708.6,148.8,20.7,22.4,92.2,19,20.4,93.3,2.58,2.95,87.2,0.08,0.05,0.05,0.02,0.91,3.94,0.61,0.08,4.32,Matches
1813,Nordi Mukiele,fr FRA,DF,Leverkusen,de Bundesliga,26,1997,10,48.8,60.7,80.4,745.7,254.4,29,32.6,89,16.8,21.5,78.1,2.2,4,55,0,0.1,0.09,-0.1,0.9,4.4,0.4,0.2,3.6,Matches
1814,Florian Müller,de GER,GK,Freiburg,de Bundesliga,26,1997,8.4,24.5,38.8,63.2,745.4,605.1,3.45,3.45,100,12.9,13.1,98.2,8.21,22,37.3,0,0,0,0,0,1.19,0,0,0,Matches
1815,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,33,1991,32.7,30.2,39.9,75.6,850,548.6,3.27,3.3,99.1,17.7,17.9,98.6,9.17,18.5,49.5,0,0,0,0,0,0.49,0.03,0,0.03,Matches
1816,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31,1993,5.3,29.1,41.1,70.6,915.5,640.8,3.58,3.58,100,12.3,12.3,100,13.2,25.3,52.2,0,0,0,0,0,1.32,0,0,0,Matches
1817,Thomas Müller,de GER,"MF,FW",Bayern Munich,de Bundesliga,34,1989,13.6,34.8,46.4,75,497,107.1,21.6,25.9,83.5,9.34,12.6,73.8,1.99,3.16,62.8,0.29,0.21,0.3,0.08,2.57,1.76,1.76,0.88,3.68,Matches
1818,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,26,1998,22.4,40.2,48.4,82.9,769.2,313.2,14.1,15.1,92.9,22,23.9,91.8,3.88,8.48,45.8,0.04,0.01,0,0.04,0.04,1.79,0.04,0,1.79,Matches
1819,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,eng Premier League,28,1996,12,12.7,17.7,71.7,158.2,32.5,7.92,10.2,77.9,3.58,4.75,75.4,0.25,0.5,50,0.08,0.15,0.09,-0.07,0.75,0.58,0.25,0.17,0.83,Matches
1820,Marshall Munetsi,zw ZIM,MF,Reims,fr Ligue 1,28,1996,18.8,14,20.4,68.5,199.9,63.7,7.87,10.3,76.7,4.52,6.17,73.3,0.64,1.6,40,0.11,0.11,0.1,0,1.01,0.74,0.27,0.11,1.38,Matches
1821,Rodrigo Muniz,br BRA,FW,Fulham,eng Premier League,23,2001,10.7,8.6,13.3,64.8,143.9,49.3,4.3,6.36,67.6,2.9,4.21,68.9,1.03,1.21,84.6,0.09,0.07,0.02,0.03,0.65,1.21,0.28,0,2.52,Matches
1822,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,26,1997,12.2,36.7,51.7,71,580.2,230.6,19.5,21.6,90.5,14.1,19.3,73.2,2.13,7.95,26.8,0,0.02,0.02,-0.02,0.25,3.11,0.25,0.16,3.11,Matches
1823,Álex Muñoz,es ESP,DF,Las Palmas,es La Liga,30,1994,15.7,39.4,49.4,79.7,632.8,225.1,19,21.3,89,18.2,22.5,81,1.72,3.63,47.4,0,0.03,0.04,-0.03,0.45,2.17,0.57,0.51,2.87,Matches
1824,Daniel Muñoz,co COL,DF,Crystal Palace,eng Premier League,28,1996,35.9,31.5,41.6,75.7,476.7,146.2,17.9,20.9,85.6,11.6,15,77,1.34,3.01,44.4,0.14,0.15,0.1,-0.01,1.28,1.64,0.97,0.42,2.7,Matches
1825,Iker Muñoz,es ESP,MF,Osasuna,es La Liga,21,2002,6.8,35.1,44.6,78.9,609.9,157.2,16.5,18.7,88.2,15,17.9,83.6,2.79,4.71,59.4,0.15,0.15,0.1,0,0.88,4.41,0.88,0.29,3.53,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1826,Javier Muñoz,es ESP,"MF,DF",Las Palmas,es La Liga,29,1995,28.8,31.9,40.9,77.9,550.5,161.3,15.3,17.7,86.8,12.1,15,80.6,3.37,5.76,58.4,0.1,0.09,0.08,0.02,1.01,3.99,1.11,0.45,3.75,Matches
1827,Víctor Muñoz,es ESP,"FW,DF",Real Madrid,es La Liga,21,2003,0.4,27.5,30,91.7,375,52.5,22.5,22.5,100,2.5,2.5,100,2.5,2.5,100,0,0,0.75,0,0,0,2.5,2.5,0,Matches
1828,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,25,1998,18,25.2,35.2,71.7,650.3,458.2,6.78,6.78,100,11.9,12.3,97.3,6.39,15.7,40.6,0,0,0,0,0,0.78,0,0,0.06,Matches
1829,Murillo,br BRA,DF,Nott'ham Forest,eng Premier League,22,2002,35.4,32.1,41,78.5,640.7,300.7,11.9,13.2,90.1,15.1,17.2,87.8,4.55,9.24,49.2,0,0.03,0.03,-0.03,0.37,3.93,0.37,0.03,3.25,Matches
1830,Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,30,1994,22.9,12.9,21.3,60.6,187.7,38,7.69,10.7,72.1,3.71,6.72,55.2,0.74,1.22,60.7,0.09,0.1,0.07,-0.01,1.14,1,0.26,0,1.31,Matches
1831,Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,29,1995,26.2,26.3,38.3,68.5,397.4,131.2,15.7,18.5,84.9,8.32,12.2,68.1,1.64,4.16,39.4,0.46,0.34,0.24,0.12,1.6,2.21,1.56,0.57,3.17,Matches
1832,Bob Murphy Omoregbe,it ITA,MF,Milan,it Serie A,20,2003,0,1,2,50,8,7,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
1833,Yunus Musah,us USA,"MF,FW",Milan,it Serie A,21,2002,17.5,36.1,41.4,87.2,617.7,138.6,16.5,18.3,90.3,15.9,17.9,89.1,2.97,3.71,80,0.11,0.1,0.09,0.01,1.31,3.43,0.97,0.4,4.8,Matches
1834,Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,21,2003,20,38.9,47.1,82.6,540.1,132.3,24,27.6,87.1,11.8,13.8,85.1,1.6,1.95,82.1,0.1,0.23,0.3,-0.13,2.05,3.75,1.2,0,5.35,Matches
1835,Florent Muslija,xk KVX,"FW,MF",Freiburg,de Bundesliga,26,1998,1.9,37.4,51.6,72.4,581.1,151.1,19.5,24.7,78.7,12.1,15.3,79.3,3.16,7.89,40,0,0.16,0.16,-0.16,1.58,0.53,1.05,0,3.68,Matches
1836,Almoatasem Al Musrati,ly LBY,MF,Monaco,fr Ligue 1,28,1996,4.3,59.3,67.7,87.6,1119.8,373.7,24.7,26.5,93,24,26.3,91.2,8.6,12.1,71.2,0.23,0.09,0.12,0.14,1.16,8.84,0.93,0,9.53,Matches
1837,Juan Musso,ar ARG,GK,Atalanta,it Serie A,30,1994,1,17,33,51.5,486,331,2,2,100,9,9,100,6,22,27.3,0,0,0,0,0,0,0,0,0,Matches
1838,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,30,1994,2,25.5,30,85,486,260.5,8.5,8.5,100,14.5,14.5,100,2.5,6.5,38.5,0,0,0,0,0,0,0,0,0,Matches
1839,Kingstone Mutandwa,zm ZAM,"FW,MF",Cagliari,it Serie A,21,2003,1.4,13.6,20,67.9,157.9,12.1,10,12.1,82.4,2.86,4.29,66.7,0,0,,0,0,0,0,0,0.71,0,0,0,Matches
1840,Junior Mwanga,fr FRA,MF,Le Havre,fr Ligue 1,21,2003,10.6,34.5,42,82.2,676,215.9,12.5,14.5,85.7,16.9,18.3,92.3,4.62,7.92,58.3,0.19,0.09,0.13,0.09,0.66,3.49,0.38,0.19,3.96,Matches
1841,Junior Mwanga,fr FRA,MF,Strasbourg,fr Ligue 1,21,2003,3.3,40.3,44.5,90.5,635.5,168.5,20.6,22.7,90.7,17,17.9,94.9,2.12,2.73,77.8,0,0,0.03,0,0.3,3.33,0,0,3.03,Matches
1842,Phillipp Mwene,at AUT,DF,Mainz 05,de Bundesliga,30,1994,29,32.9,43.9,75,553.8,192.2,16,18.5,86.6,13.9,17.7,78.6,2.45,4.79,51.1,0.14,0.07,0.13,0.07,0.76,2.34,1.31,0.66,3.66,Matches
1843,Vitaliy Mykolenko,ua UKR,DF,Everton,eng Premier League,25,1999,34.2,28.8,38.7,74.6,481.6,192.4,14.9,16.7,89.3,10.8,14.6,73.8,2.54,5.64,45.1,0.06,0.08,0.06,-0.02,0.7,2.98,1.17,0.7,3.22,Matches
1844,Joakim Mæhle,dk DEN,DF,Wolfsburg,de Bundesliga,27,1997,24.3,40.1,49.6,80.9,636.5,233.3,20.5,23.1,88.8,17.1,20.3,84.2,1.93,3.99,48.5,0.16,0.09,0.13,0.07,0.82,2.88,0.74,0.16,3.62,Matches
1845,Obite N'Dicka,ci CIV,DF,Roma,it Serie A,24,1999,38,60.4,65.6,92.1,1110.2,372,21.3,22.2,96.2,33.9,35.3,96.1,4.34,6.79,64,0.03,0.02,0.01,0.01,0.21,3.26,0.08,0,2.82,Matches
1846,Konan N'dri,ci CIV,"FW,MF",Lecce,it Serie A,23,2000,3.4,13.2,19.7,67.2,211.2,32.9,7.65,9.41,81.3,3.53,6.76,52.2,1.47,2.65,55.6,0,0.06,0.03,-0.06,1.76,0.29,0.59,0.59,0.59,Matches
1847,Loïc N'Gatta,fr FRA,DF,Auxerre,fr Ligue 1,20,2003,0.1,130,150,86.7,1990,640,70,70,100,50,50,100,10,20,50,0,0,0,0,0,30,0,0,10,Matches
1848,Nathan N'Goumou,cm CMR,FW,Gladbach,de Bundesliga,24,2000,9.2,21.2,28.8,73.6,278.4,61,13.9,16.5,84.2,5.87,8.37,70.1,0.54,1.3,41.7,0.11,0.14,0.14,-0.03,0.65,1.2,0.98,0.33,1.74,Matches
1849,Djylian N'Guessan,fr FRA,FW,Saint-Étienne,fr Ligue 1,15,2008,2,22,26.5,83,303,69,12,13.5,88.9,8,9.5,84.2,0.5,0.5,100,0,0.05,0.05,-0.05,1,3,0.5,0,4.5,Matches
1850,Stanley N'Soki,fr FRA,DF,Hoffenheim,de Bundesliga,25,1999,14.5,49.6,57.8,85.8,894.6,340.6,20.1,21.4,93.6,24.8,28.4,87.4,4.28,6.41,66.7,0,0.03,0.03,-0.03,0.48,3.45,0.48,0.07,3.59,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1851,Mickael Nade,fr FRA,DF,Saint-Étienne,fr Ligue 1,25,1999,25.6,48,53.4,90,825.9,273.3,20.4,21.3,95.6,24.8,26.3,94.2,2.58,4.88,52.8,0.08,0.02,0.02,0.05,0.27,2.85,0.12,0,2.81,Matches
1852,Bilal Nadir,ma MAR,MF,Marseille,fr Ligue 1,20,2003,4.3,51.2,58.6,87.3,715.3,132.8,27,28.6,94.3,19.3,21.6,89.2,1.4,1.86,75,0,0.09,0.09,-0.09,1.63,3.49,1.16,0,4.19,Matches
1853,Mahamadou Nagida,cm CMR,DF,Rennes,fr Ligue 1,19,2005,4.8,36.3,47.1,77,554.6,147.3,20,23.1,86.5,11.9,15.6,76,2.5,4.38,57.1,0,0.06,0.06,-0.06,0.63,2.08,0.83,0.42,3.13,Matches
1854,Keito Nakamura,jp JPN,"FW,MF",Reims,fr Ligue 1,24,2000,29.4,19.6,26.4,74.2,306.1,65.3,10.5,12.7,83.3,6.53,8.71,75,1.5,2.65,56.4,0.07,0.1,0.12,-0.03,0.88,1.09,0.82,0.34,2.79,Matches
1855,Sebastian Nanasi,se SWE,"MF,FW",Strasbourg,fr Ligue 1,22,2002,23.4,27.5,34.7,79.2,409.3,118.9,16.5,18.8,87.7,8.72,10.7,81.3,1.45,3.33,43.6,0.17,0.21,0.2,-0.04,1.58,3.16,1.67,0.09,5.38,Matches
